Month,AAPL,MSFT,AAL,WMT
2010-11-01,9.541,19.953,10.521,41.735
2010-12-01,9.891,22.046,9.437,41.842
2011-01-01,10.405,21.904,9.352,43.502
2011-02-01,10.831,21.12,8.117,40.329
2011-03-01,10.687,20.174,8.211,40.667
2011-04-01,10.737,20.595,8.57,42.956
2011-05-01,10.666,20.003,8.579,43.429
2011-06-01,10.293,20.794,8.4,41.793
2011-07-01,11.974,21.914,5.883,41.455
2011-08-01,11.801,21.408,5.27,42.135
2011-09-01,11.693,20.032,5.185,41.113
2011-10-01,12.413,21.433,5.44,44.931
2011-11-01,11.72,20.743,4.45,46.658
