Date,JP Morgan,Microsoft,Apple,Boeing
2024-01-05,189.88,395.34,172.34,177.08
2024-01-04,191.79,389.33,170.33,167.81
2024-01-03,200.3,420.72,171.48,192.99
2024-01-02,186.06,413.64,180.75,203.72
2024-01-01,174.36,397.58,184.4,211.04
2023-01-12,170.1,376.04,192.53,260.66
2023-01-11,156.08,378.91,189.95,231.63
2023-01-10,139.06,338.11,170.77,186.82
2023-01-09,145.02,315.75,171.21,191.68
2023-01-08,146.33,327.76,187.87,224.03
2023-01-07,157.96,335.92,196.45,238.85
2023-01-06,145.44,340.54,193.97,211.16
2023-01-05,135.71,328.39,177.25,205.7
2023-01-04,138.24,307.26,169.68,206.78
2023-01-03,130.31,288.3,164.9,212.43
2023-01-02,143.35,249.42,147.41,201.55
2023-01-01,139.96,247.81,144.29,213.0
